Timestamp,Joy_LY,Joy_RY,Left_Speed,Right_Speed,Distance
2025-01-15 17:33:51,-62,100,0,100,0.98
2025-01-15 17:33:51,67,100,-62,100,0.98
2025-01-15 17:33:51,100,100,67,100,0.98
2025-01-15 17:33:51,100,100,100,100,0.98
2025-01-15 17:33:51,100,100,100,100,0.97
2025-01-15 17:33:51,100,100,100,100,0.95
2025-01-15 17:33:51,100,100,100,100,0.92
2025-01-15 17:33:52,21,100,100,100,0.89
2025-01-15 17:33:52,-99,100,21,100,0.89
2025-01-15 17:33:52,-99,100,-99,100,0.85
2025-01-15 17:33:52,0,100,-99,100,0.82
2025-01-15 17:33:52,100,100,0,100,0.79
2025-01-15 17:33:52,100,100,100,100,0.76
2025-01-15 17:33:52,100,100,100,100,0.73
2025-01-15 17:33:52,100,100,100,100,0.69
2025-01-15 17:33:52,100,100,96,96,0.66
2025-01-15 17:33:52,100,100,61,61,0.61
2025-01-15 17:33:53,48,100,-2,49,0.59
2025-01-15 17:33:53,-99,100,-100,32,0.55
2025-01-15 17:33:53,-95,100,-100,17,0.52
2025-01-15 17:33:53,38,100,-64,-2,0.47
2025-01-15 17:33:53,100,100,-14,-14,0.45
2025-01-15 17:33:53,100,100,-14,-14,0.42
2025-01-15 17:33:53,100,100,-27,-27,0.39
2025-01-15 17:33:53,100,100,-38,-38,0.39
2025-01-15 17:33:53,100,100,-49,-49,0.37
2025-01-15 17:33:53,100,100,-58,-58,0.35
2025-01-15 17:33:54,100,100,-66,-66,0.33
2025-01-15 17:33:54,100,100,-70,-70,0.32
2025-01-15 17:33:54,100,100,-71,-71,0.32
2025-01-15 17:33:54,100,100,-71,-71,0.32
2025-01-15 17:33:54,100,100,-71,-71,0.32
2025-01-15 17:33:54,0,0,-100,-100,0.32
2025-01-15 17:33:54,0,0,-100,-100,0.33
2025-01-15 17:33:54,0,0,-100,-100,0.33
2025-01-15 17:33:54,0,0,-100,-100,0.34
2025-01-15 17:33:54,0,0,-100,-100,0.34
2025-01-15 17:33:55,0,0,-100,-100,0.37
2025-01-15 17:33:55,0,0,-100,-100,0.39
2025-01-15 17:33:55,0,0,-100,-100,0.42
2025-01-15 17:33:55,0,0,-100,-100,0.46
2025-01-15 17:33:55,0,0,-94,-94,0.49
2025-01-15 17:33:55,0,0,-76,-76,0.53
2025-01-15 17:33:55,0,0,-59,-59,0.57
2025-01-15 17:33:55,0,0,-45,-45,0.60
2025-01-15 17:33:55,0,0,-28,-28,0.64
2025-01-15 17:33:55,0,0,-28,-28,0.68
2025-01-15 17:33:56,0,0,-10,-10,0.71
2025-01-15 17:33:56,0,0,0,0,0.71
2025-01-15 17:33:56,0,0,0,0,0.75
2025-01-15 17:33:56,0,0,0,0,0.79
2025-01-15 17:33:56,0,0,0,0,0.82
2025-01-15 17:33:56,0,0,0,0,0.85
2025-01-15 17:33:56,0,0,0,0,0.89
2025-01-15 17:33:56,75,1,75,1,0.92
